TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	18/06/04
TIME	12:16:31
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-0.025
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  650.0000
LASTX	  500.0000
NPOINTS	    6001
FIRSTY	     1.53992
MAXY	     1.55413
MINY	     1.26864
XYDATA
635.8500	1.52483
635.8250	1.52232
635.8000	1.52127
635.7750	1.5229
635.7500	1.52527
635.7250	1.52527
635.7000	1.5257
635.6750	1.52784
635.6500	1.53005
635.6250	1.53082
635.6000	1.52789
635.5750	1.52536
635.5500	1.52307
635.5250	1.52577
635.5000	1.52425
635.4750	1.52219
635.4500	1.52238
635.4250	1.52129
635.4000	1.52473
635.3750	1.52174
635.3500	1.52462
635.3250	1.52424
635.3000	1.52634
635.2750	1.52464
635.2500	1.52326
635.2250	1.52067
635.2000	1.5203
635.1750	1.51816
635.1500	1.52038
635.1250	1.52122
635.1000	1.52401
635.0750	1.52161
635.0500	1.52306
635.0250	1.52438
635.0000	1.52653
634.9750	1.52583
634.9500	1.5249
634.9250	1.52586
634.9000	1.52478
634.8750	1.52164
634.8500	1.52542
634.8250	1.52517
634.8000	1.52518
634.7750	1.5263
634.7500	1.52537
634.7250	1.52891
634.7000	1.52805
634.6750	1.52934
634.6500	1.53053
634.6250	1.5266
634.6000	1.52591
634.5750	1.52309
634.5500	1.52349
634.5250	1.5218
634.5000	1.51689
634.4750	1.52009
634.4500	1.52325
634.4250	1.52542
634.4000	1.52647
634.3750	1.52679
634.3500	1.52803
634.3250	1.5279
634.3000	1.52421
634.2750	1.52292
634.2500	1.52348
634.2250	1.52953
634.2000	1.52597
634.1750	1.52682
634.1500	1.52644
634.1250	1.52518
634.1000	1.52611
634.0750	1.52475
634.0500	1.523
634.0250	1.52318
634.0000	1.52605
633.9750	1.52651
633.9500	1.52797
633.9250	1.52633
633.9000	1.52393
633.8750	1.52763
633.8500	1.52767
633.8250	1.52605
633.8000	1.5253
633.7750	1.52498
633.7500	1.52551
633.7250	1.52434
633.7000	1.52454
633.6750	1.52338
633.6500	1.52234
633.6250	1.52089
633.6000	1.51688
633.5750	1.51973
633.5500	1.51811
633.5250	1.51785
633.5000	1.51704
633.4750	1.52181
633.4500	1.52302
633.4250	1.52244
633.4000	1.52341
633.3750	1.52284
633.3500	1.52263
633.3250	1.52408
633.3000	1.5228
633.2750	1.52199
633.2500	1.52011
633.2250	1.52174
633.2000	1.52399
633.1750	1.51974
633.1500	1.51889
633.1250	1.52113
633.1000	1.52096
633.0750	1.52122
633.0500	1.51601
633.0250	1.5176
633.0000	1.51774
632.9750	1.51613
632.9500	1.51406
632.9250	1.51436
632.9000	1.51743
632.8750	1.52083
632.8500	1.52302
632.8250	1.52388
632.8000	1.52601
632.7750	1.52874
632.7500	1.5291
632.7250	1.52713
632.7000	1.52793
632.6750	1.52971
632.6500	1.53123
632.6250	1.53239
632.6000	1.53405
632.5750	1.53411
632.5500	1.53387
632.5250	1.53026
632.5000	1.53059
632.4750	1.53009
632.4500	1.53033
632.4250	1.52733
632.4000	1.52633
632.3750	1.52856
632.3500	1.52862
632.3250	1.52677
632.3000	1.52754
632.2750	1.52659
632.2500	1.5267
632.2250	1.52595
632.2000	1.5246
632.1750	1.52279
632.1500	1.52372
632.1250	1.52573
632.1000	1.52389
632.0750	1.52445
632.0500	1.52445
632.0250	1.52548
632.0000	1.52698
631.9750	1.52705
631.9500	1.52799
631.9250	1.52672
631.9000	1.5276
631.8750	1.52634
631.8500	1.52547
631.8250	1.52484
631.8000	1.5267
631.7750	1.52301
631.7500	1.52407
631.7250	1.52608
631.7000	1.52712
631.6750	1.5262
631.6500	1.52533
631.6250	1.52113
631.6000	1.52816
631.5750	1.53179
631.5500	1.53332
631.5250	1.53067
631.5000	1.53588
631.4750	1.53582
631.4500	1.53802
631.4250	1.53141
631.4000	1.53204
631.3750	1.53217
631.3500	1.53078
631.3250	1.52863
631.3000	1.52736
631.2750	1.52717
631.2500	1.5276
631.2250	1.52943
631.2000	1.5262
631.1750	1.52552
631.1500	1.52265
631.1250	1.5249
631.1000	1.52316
631.0750	1.52476
631.0500	1.5229
631.0250	1.52541
631.0000	1.52979
630.9750	1.53115
630.9500	1.53234
630.9250	1.53473
630.9000	1.53602
630.8750	1.5376
630.8500	1.53428
630.8250	1.53027
630.8000	1.52936
630.7750	1.52983
630.7500	1.5283
630.7250	1.52553
630.7000	1.52494
630.6750	1.52665
630.6500	1.52775
630.6250	1.52931
630.6000	1.5291
630.5750	1.52814
630.5500	1.53107
630.5250	1.5298
630.5000	1.52675
630.4750	1.52568
630.4500	1.52563
630.4250	1.52132
630.4000	1.51702
630.3750	1.51703
630.3500	1.52181
630.3250	1.52682
630.3000	1.52551
630.2750	1.52608
630.2500	1.52893
630.2250	1.532
630.2000	1.53183
630.1750	1.5298
630.1500	1.52805
630.1250	1.52937
630.1000	1.52807
630.0750	1.52644
630.0500	1.52325
630.0250	1.52201
630.0000	1.5203
629.9750	1.52115
629.9500	1.51996
629.9250	1.52329
629.9000	1.52316
629.8750	1.52072
629.8500	1.52461
629.8250	1.52124
629.8000	1.5236
629.7750	1.52464
